0000 // dec: 000000	bin: 0000000000000000
6f91 // dec: 028561	bin: 0110111110010001
70e4 // dec: 028900	bin: 0111000011100100
7239 // dec: 029241	bin: 0111001000111001
7390 // dec: 029584	bin: 0111001110010000
74e9 // dec: 029929	bin: 0111010011101001
7644 // dec: 030276	bin: 0111011001000100
77a1 // dec: 030625	bin: 0111011110100001
7900 // dec: 030976	bin: 0111100100000000
7a61 // dec: 031329	bin: 0111101001100001
7bc4 // dec: 031684	bin: 0111101111000100
7d29 // dec: 032041	bin: 0111110100101001
7e90 // dec: 032400	bin: 0111111010010000
7ff9 // dec: 032761	bin: 0111111111111001
8164 // dec: 033124	bin: 1000000101100100
82d1 // dec: 033489	bin: 1000001011010001
8440 // dec: 033856	bin: 1000010001000000
85b1 // dec: 034225	bin: 1000010110110001
8724 // dec: 034596	bin: 1000011100100100
8899 // dec: 034969	bin: 1000100010011001
8a10 // dec: 035344	bin: 1000101000010000
8b89 // dec: 035721	bin: 1000101110001001
8d04 // dec: 036100	bin: 1000110100000100
8e81 // dec: 036481	bin: 1000111010000001
9000 // dec: 036864	bin: 1001000000000000
9181 // dec: 037249	bin: 1001000110000001
9304 // dec: 037636	bin: 1001001100000100
9489 // dec: 038025	bin: 1001010010001001
9610 // dec: 038416	bin: 1001011000010000
9799 // dec: 038809	bin: 1001011110011001
9924 // dec: 039204	bin: 1001100100100100
9ab1 // dec: 039601	bin: 1001101010110001
9c40 // dec: 040000	bin: 1001110001000000
9dd1 // dec: 040401	bin: 1001110111010001
9f64 // dec: 040804	bin: 1001111101100100
a0f9 // dec: 041209	bin: 1010000011111001
a290 // dec: 041616	bin: 1010001010010000
a429 // dec: 042025	bin: 1010010000101001
a5c4 // dec: 042436	bin: 1010010111000100
a761 // dec: 042849	bin: 1010011101100001
a900 // dec: 043264	bin: 1010100100000000
aaa1 // dec: 043681	bin: 1010101010100001
ac44 // dec: 044100	bin: 1010110001000100
ade9 // dec: 044521	bin: 1010110111101001
af90 // dec: 044944	bin: 1010111110010000
b139 // dec: 045369	bin: 1011000100111001
b2e4 // dec: 045796	bin: 1011001011100100
b491 // dec: 046225	bin: 1011010010010001
b640 // dec: 046656	bin: 1011011001000000
b7f1 // dec: 047089	bin: 1011011111110001
b9a4 // dec: 047524	bin: 1011100110100100
bb59 // dec: 047961	bin: 1011101101011001
bd10 // dec: 048400	bin: 1011110100010000
bec9 // dec: 048841	bin: 1011111011001001
c084 // dec: 049284	bin: 1100000010000100
c241 // dec: 049729	bin: 1100001001000001
c400 // dec: 050176	bin: 1100010000000000
c5c1 // dec: 050625	bin: 1100010111000001
c784 // dec: 051076	bin: 1100011110000100
c949 // dec: 051529	bin: 1100100101001001
cb10 // dec: 051984	bin: 1100101100010000
ccd9 // dec: 052441	bin: 1100110011011001
cea4 // dec: 052900	bin: 1100111010100100
d071 // dec: 053361	bin: 1101000001110001
d240 // dec: 053824	bin: 1101001001000000
d411 // dec: 054289	bin: 1101010000010001
d5e4 // dec: 054756	bin: 1101010111100100
d7b9 // dec: 055225	bin: 1101011110111001
d990 // dec: 055696	bin: 1101100110010000
db69 // dec: 056169	bin: 1101101101101001
dd44 // dec: 056644	bin: 1101110101000100
df21 // dec: 057121	bin: 1101111100100001
e100 // dec: 057600	bin: 1110000100000000
e2e1 // dec: 058081	bin: 1110001011100001
e4c4 // dec: 058564	bin: 1110010011000100
e6a9 // dec: 059049	bin: 1110011010101001
e890 // dec: 059536	bin: 1110100010010000
ea79 // dec: 060025	bin: 1110101001111001
ec64 // dec: 060516	bin: 1110110001100100
ee51 // dec: 061009	bin: 1110111001010001
f040 // dec: 061504	bin: 1111000001000000
f231 // dec: 062001	bin: 1111001000110001
f424 // dec: 062500	bin: 1111010000100100
f619 // dec: 063001	bin: 1111011000011001
f810 // dec: 063504	bin: 1111100000010000
fa09 // dec: 064009	bin: 1111101000001001
fc04 // dec: 064516	bin: 1111110000000100
fe01 // dec: 065025	bin: 1111111000000001
10000 // dec: 065536	bin: 10000000000000000
10201 // dec: 066049	bin: 10000001000000001
10404 // dec: 066564	bin: 10000010000000100
10609 // dec: 067081	bin: 10000011000001001
10810 // dec: 067600	bin: 10000100000010000
10a19 // dec: 068121	bin: 10000101000011001
10c24 // dec: 068644	bin: 10000110000100100
10e31 // dec: 069169	bin: 10000111000110001
11040 // dec: 069696	bin: 10001000001000000
11251 // dec: 070225	bin: 10001001001010001
11464 // dec: 070756	bin: 10001010001100100
11679 // dec: 071289	bin: 10001011001111001
11890 // dec: 071824	bin: 10001100010010000
11aa9 // dec: 072361	bin: 10001101010101001
11cc4 // dec: 072900	bin: 10001110011000100
11ee1 // dec: 073441	bin: 10001111011100001
12100 // dec: 073984	bin: 10010000100000000
12321 // dec: 074529	bin: 10010001100100001
12544 // dec: 075076	bin: 10010010101000100
12769 // dec: 075625	bin: 10010011101101001
12990 // dec: 076176	bin: 10010100110010000
12bb9 // dec: 076729	bin: 10010101110111001
12de4 // dec: 077284	bin: 10010110111100100
13011 // dec: 077841	bin: 10011000000010001
13240 // dec: 078400	bin: 10011001001000000
13471 // dec: 078961	bin: 10011010001110001
136a4 // dec: 079524	bin: 10011011010100100
138d9 // dec: 080089	bin: 10011100011011001
13b10 // dec: 080656	bin: 10011101100010000
13d49 // dec: 081225	bin: 10011110101001001
13f84 // dec: 081796	bin: 10011111110000100
141c1 // dec: 082369	bin: 10100000111000001
14400 // dec: 082944	bin: 10100010000000000
14641 // dec: 083521	bin: 10100011001000001
14884 // dec: 084100	bin: 10100100010000100
14ac9 // dec: 084681	bin: 10100101011001001
14d10 // dec: 085264	bin: 10100110100010000
14f59 // dec: 085849	bin: 10100111101011001
151a4 // dec: 086436	bin: 10101000110100100
153f1 // dec: 087025	bin: 10101001111110001
15640 // dec: 087616	bin: 10101011001000000
15891 // dec: 088209	bin: 10101100010010001
15ae4 // dec: 088804	bin: 10101101011100100
15d39 // dec: 089401	bin: 10101110100111001
15f90 // dec: 090000	bin: 10101111110010000
161e9 // dec: 090601	bin: 10110000111101001
16444 // dec: 091204	bin: 10110010001000100
166a1 // dec: 091809	bin: 10110011010100001
16900 // dec: 092416	bin: 10110100100000000
16b61 // dec: 093025	bin: 10110101101100001
16dc4 // dec: 093636	bin: 10110110111000100
17029 // dec: 094249	bin: 10111000000101001
17290 // dec: 094864	bin: 10111001010010000
174f9 // dec: 095481	bin: 10111010011111001
17764 // dec: 096100	bin: 10111011101100100
179d1 // dec: 096721	bin: 10111100111010001
17c40 // dec: 097344	bin: 10111110001000000
17eb1 // dec: 097969	bin: 10111111010110001
18124 // dec: 098596	bin: 11000000100100100
18399 // dec: 099225	bin: 11000001110011001
18610 // dec: 099856	bin: 11000011000010000
18889 // dec: 100489	bin: 11000100010001001
18b04 // dec: 101124	bin: 11000101100000100
18d81 // dec: 101761	bin: 11000110110000001
19000 // dec: 102400	bin: 11001000000000000
19281 // dec: 103041	bin: 11001001010000001
19504 // dec: 103684	bin: 11001010100000100
19789 // dec: 104329	bin: 11001011110001001
19a10 // dec: 104976	bin: 11001101000010000
19c99 // dec: 105625	bin: 11001110010011001
19f24 // dec: 106276	bin: 11001111100100100
1a1b1 // dec: 106929	bin: 11010000110110001
1a440 // dec: 107584	bin: 11010010001000000
1a6d1 // dec: 108241	bin: 11010011011010001
1a964 // dec: 108900	bin: 11010100101100100
1abf9 // dec: 109561	bin: 11010101111111001
1ae90 // dec: 110224	bin: 11010111010010000
1b129 // dec: 110889	bin: 11011000100101001
1b3c4 // dec: 111556	bin: 11011001111000100
1b661 // dec: 112225	bin: 11011011001100001
1b900 // dec: 112896	bin: 11011100100000000
1bba1 // dec: 113569	bin: 11011101110100001
1be44 // dec: 114244	bin: 11011111001000100
1c0e9 // dec: 114921	bin: 11100000011101001
1c390 // dec: 115600	bin: 11100001110010000
1c639 // dec: 116281	bin: 11100011000111001
1c8e4 // dec: 116964	bin: 11100100011100100
1cb91 // dec: 117649	bin: 11100101110010001
1ce40 // dec: 118336	bin: 11100111001000000
1d0f1 // dec: 119025	bin: 11101000011110001
1d3a4 // dec: 119716	bin: 11101001110100100
1d659 // dec: 120409	bin: 11101011001011001
1d910 // dec: 121104	bin: 11101100100010000
1dbc9 // dec: 121801	bin: 11101101111001001
1de84 // dec: 122500	bin: 11101111010000100
1e141 // dec: 123201	bin: 11110000101000001
1e400 // dec: 123904	bin: 11110010000000000
1e6c1 // dec: 124609	bin: 11110011011000001
1e984 // dec: 125316	bin: 11110100110000100
1ec49 // dec: 126025	bin: 11110110001001001
1ef10 // dec: 126736	bin: 11110111100010000
1f1d9 // dec: 127449	bin: 11111000111011001
1f4a4 // dec: 128164	bin: 11111010010100100
1f771 // dec: 128881	bin: 11111011101110001
1fa40 // dec: 129600	bin: 11111101001000000
1fd11 // dec: 130321	bin: 11111110100010001
1ffe4 // dec: 131044	bin: 11111111111100100
202b9 // dec: 131769	bin: 100000001010111001
20590 // dec: 132496	bin: 100000010110010000
20869 // dec: 133225	bin: 100000100001101001
20b44 // dec: 133956	bin: 100000101101000100
20e21 // dec: 134689	bin: 100000111000100001
21100 // dec: 135424	bin: 100001000100000000
213e1 // dec: 136161	bin: 100001001111100001
216c4 // dec: 136900	bin: 100001011011000100
219a9 // dec: 137641	bin: 100001100110101001
21c90 // dec: 138384	bin: 100001110010010000
21f79 // dec: 139129	bin: 100001111101111001
22264 // dec: 139876	bin: 100010001001100100
22551 // dec: 140625	bin: 100010010101010001
22840 // dec: 141376	bin: 100010100001000000
22b31 // dec: 142129	bin: 100010101100110001
22e24 // dec: 142884	bin: 100010111000100100
23119 // dec: 143641	bin: 100011000100011001
23410 // dec: 144400	bin: 100011010000010000
23709 // dec: 145161	bin: 100011011100001001
23a04 // dec: 145924	bin: 100011101000000100
23d01 // dec: 146689	bin: 100011110100000001
24000 // dec: 147456	bin: 100100000000000000
24301 // dec: 148225	bin: 100100001100000001
24604 // dec: 148996	bin: 100100011000000100
24909 // dec: 149769	bin: 100100100100001001
24c10 // dec: 150544	bin: 100100110000010000
24f19 // dec: 151321	bin: 100100111100011001
25224 // dec: 152100	bin: 100101001000100100
25531 // dec: 152881	bin: 100101010100110001
25840 // dec: 153664	bin: 100101100001000000
25b51 // dec: 154449	bin: 100101101101010001
25e64 // dec: 155236	bin: 100101111001100100
26179 // dec: 156025	bin: 100110000101111001
26490 // dec: 156816	bin: 100110010010010000
267a9 // dec: 157609	bin: 100110011110101001
26ac4 // dec: 158404	bin: 100110101011000100
26de1 // dec: 159201	bin: 100110110111100001
27100 // dec: 160000	bin: 100111000100000000
27421 // dec: 160801	bin: 100111010000100001
27744 // dec: 161604	bin: 100111011101000100
27a69 // dec: 162409	bin: 100111101001101001
27d90 // dec: 163216	bin: 100111110110010000
280b9 // dec: 164025	bin: 101000000010111001
283e4 // dec: 164836	bin: 101000001111100100
28711 // dec: 165649	bin: 101000011100010001
28a40 // dec: 166464	bin: 101000101001000000
28d71 // dec: 167281	bin: 101000110101110001
290a4 // dec: 168100	bin: 101001000010100100
293d9 // dec: 168921	bin: 101001001111011001
29710 // dec: 169744	bin: 101001011100010000
29a49 // dec: 170569	bin: 101001101001001001
29d84 // dec: 171396	bin: 101001110110000100
2a0c1 // dec: 172225	bin: 101010000011000001
2a400 // dec: 173056	bin: 101010010000000000
2a741 // dec: 173889	bin: 101010011101000001
2aa84 // dec: 174724	bin: 101010101010000100
2adc9 // dec: 175561	bin: 101010110111001001
2b110 // dec: 176400	bin: 101011000100010000
2b459 // dec: 177241	bin: 101011010001011001
2b7a4 // dec: 178084	bin: 101011011110100100
2baf1 // dec: 178929	bin: 101011101011110001
2be40 // dec: 179776	bin: 101011111001000000
2c191 // dec: 180625	bin: 101100000110010001
2c4e4 // dec: 181476	bin: 101100010011100100
2c839 // dec: 182329	bin: 101100100000111001
2cb90 // dec: 183184	bin: 101100101110010000
2cee9 // dec: 184041	bin: 101100111011101001
2d244 // dec: 184900	bin: 101101001001000100
2d5a1 // dec: 185761	bin: 101101010110100001
2d900 // dec: 186624	bin: 101101100100000000
2dc61 // dec: 187489	bin: 101101110001100001
2dfc4 // dec: 188356	bin: 101101111111000100
2e329 // dec: 189225	bin: 101110001100101001
2e690 // dec: 190096	bin: 101110011010010000
2e9f9 // dec: 190969	bin: 101110100111111001
2ed64 // dec: 191844	bin: 101110110101100100
2f0d1 // dec: 192721	bin: 101111000011010001
2f440 // dec: 193600	bin: 101111010001000000
2f7b1 // dec: 194481	bin: 101111011110110001
2fb24 // dec: 195364	bin: 101111101100100100
2fe99 // dec: 196249	bin: 101111111010011001
30210 // dec: 197136	bin: 110000001000010000
30589 // dec: 198025	bin: 110000010110001001
30904 // dec: 198916	bin: 110000100100000100
30c81 // dec: 199809	bin: 110000110010000001
31000 // dec: 200704	bin: 110001000000000000
31381 // dec: 201601	bin: 110001001110000001
31704 // dec: 202500	bin: 110001011100000100
31a89 // dec: 203401	bin: 110001101010001001
31e10 // dec: 204304	bin: 110001111000010000
32199 // dec: 205209	bin: 110010000110011001
32524 // dec: 206116	bin: 110010010100100100
328b1 // dec: 207025	bin: 110010100010110001
32c40 // dec: 207936	bin: 110010110001000000
32fd1 // dec: 208849	bin: 110010111111010001
33364 // dec: 209764	bin: 110011001101100100
336f9 // dec: 210681	bin: 110011011011111001
33a90 // dec: 211600	bin: 110011101010010000
33e29 // dec: 212521	bin: 110011111000101001
341c4 // dec: 213444	bin: 110100000111000100
34561 // dec: 214369	bin: 110100010101100001
34900 // dec: 215296	bin: 110100100100000000
34ca1 // dec: 216225	bin: 110100110010100001
35044 // dec: 217156	bin: 110101000001000100
353e9 // dec: 218089	bin: 110101001111101001
35790 // dec: 219024	bin: 110101011110010000
35b39 // dec: 219961	bin: 110101101100111001
35ee4 // dec: 220900	bin: 110101111011100100
36291 // dec: 221841	bin: 110110001010010001
36640 // dec: 222784	bin: 110110011001000000
369f1 // dec: 223729	bin: 110110100111110001
36da4 // dec: 224676	bin: 110110110110100100
37159 // dec: 225625	bin: 110111000101011001
37510 // dec: 226576	bin: 110111010100010000
378c9 // dec: 227529	bin: 110111100011001001
37c84 // dec: 228484	bin: 110111110010000100
38041 // dec: 229441	bin: 111000000001000001
38400 // dec: 230400	bin: 111000010000000000
387c1 // dec: 231361	bin: 111000011111000001
38b84 // dec: 232324	bin: 111000101110000100
38f49 // dec: 233289	bin: 111000111101001001
39310 // dec: 234256	bin: 111001001100010000
396d9 // dec: 235225	bin: 111001011011011001
39aa4 // dec: 236196	bin: 111001101010100100
39e71 // dec: 237169	bin: 111001111001110001
3a240 // dec: 238144	bin: 111010001001000000
3a611 // dec: 239121	bin: 111010011000010001
3a9e4 // dec: 240100	bin: 111010100111100100
3adb9 // dec: 241081	bin: 111010110110111001
3b190 // dec: 242064	bin: 111011000110010000
3b569 // dec: 243049	bin: 111011010101101001
3b944 // dec: 244036	bin: 111011100101000100
3bd21 // dec: 245025	bin: 111011110100100001
3c100 // dec: 246016	bin: 111100000100000000
3c4e1 // dec: 247009	bin: 111100010011100001
3c8c4 // dec: 248004	bin: 111100100011000100
3cca9 // dec: 249001	bin: 111100110010101001
3d090 // dec: 250000	bin: 111101000010010000
3d479 // dec: 251001	bin: 111101010001111001
3d864 // dec: 252004	bin: 111101100001100100
3dc51 // dec: 253009	bin: 111101110001010001
3e040 // dec: 254016	bin: 111110000001000000
3e431 // dec: 255025	bin: 111110010000110001
3e824 // dec: 256036	bin: 111110100000100100
3ec19 // dec: 257049	bin: 111110110000011001
3f010 // dec: 258064	bin: 111111000000010000
3f409 // dec: 259081	bin: 111111010000001001
3f804 // dec: 260100	bin: 111111100000000100
3fc01 // dec: 261121	bin: 111111110000000001
40000 // dec: 262144	bin: 1000000000000000000
40401 // dec: 263169	bin: 1000000010000000001
40804 // dec: 264196	bin: 1000000100000000100
40c09 // dec: 265225	bin: 1000000110000001001
41010 // dec: 266256	bin: 1000001000000010000
41419 // dec: 267289	bin: 1000001010000011001
41824 // dec: 268324	bin: 1000001100000100100
41c31 // dec: 269361	bin: 1000001110000110001
42040 // dec: 270400	bin: 1000010000001000000
42451 // dec: 271441	bin: 1000010010001010001
42864 // dec: 272484	bin: 1000010100001100100
42c79 // dec: 273529	bin: 1000010110001111001
43090 // dec: 274576	bin: 1000011000010010000
434a9 // dec: 275625	bin: 1000011010010101001
438c4 // dec: 276676	bin: 1000011100011000100
43ce1 // dec: 277729	bin: 1000011110011100001
44100 // dec: 278784	bin: 1000100000100000000
44521 // dec: 279841	bin: 1000100010100100001
44944 // dec: 280900	bin: 1000100100101000100
44d69 // dec: 281961	bin: 1000100110101101001
45190 // dec: 283024	bin: 1000101000110010000
455b9 // dec: 284089	bin: 1000101010110111001
459e4 // dec: 285156	bin: 1000101100111100100
45e11 // dec: 286225	bin: 1000101111000010001
46240 // dec: 287296	bin: 1000110001001000000
46671 // dec: 288369	bin: 1000110011001110001
46aa4 // dec: 289444	bin: 1000110101010100100
46ed9 // dec: 290521	bin: 1000110111011011001
47310 // dec: 291600	bin: 1000111001100010000
47749 // dec: 292681	bin: 1000111011101001001
47b84 // dec: 293764	bin: 1000111101110000100
47fc1 // dec: 294849	bin: 1000111111111000001
48400 // dec: 295936	bin: 1001000010000000000
48841 // dec: 297025	bin: 1001000100001000001
48c84 // dec: 298116	bin: 1001000110010000100
490c9 // dec: 299209	bin: 1001001000011001001
49510 // dec: 300304	bin: 1001001010100010000
49959 // dec: 301401	bin: 1001001100101011001
49da4 // dec: 302500	bin: 1001001110110100100
4a1f1 // dec: 303601	bin: 1001010000111110001
4a640 // dec: 304704	bin: 1001010011001000000
4aa91 // dec: 305809	bin: 1001010101010010001
4aee4 // dec: 306916	bin: 1001010111011100100
4b339 // dec: 308025	bin: 1001011001100111001
4b790 // dec: 309136	bin: 1001011011110010000
4bbe9 // dec: 310249	bin: 1001011101111101001
4c044 // dec: 311364	bin: 1001100000001000100
4c4a1 // dec: 312481	bin: 1001100010010100001
4c900 // dec: 313600	bin: 1001100100100000000
4cd61 // dec: 314721	bin: 1001100110101100001
4d1c4 // dec: 315844	bin: 1001101000111000100
4d629 // dec: 316969	bin: 1001101011000101001
4da90 // dec: 318096	bin: 1001101101010010000
4def9 // dec: 319225	bin: 1001101111011111001
4e364 // dec: 320356	bin: 1001110001101100100
4e7d1 // dec: 321489	bin: 1001110011111010001
4ec40 // dec: 322624	bin: 1001110110001000000
4f0b1 // dec: 323761	bin: 1001111000010110001
4f524 // dec: 324900	bin: 1001111010100100100
4f999 // dec: 326041	bin: 1001111100110011001
4fe10 // dec: 327184	bin: 1001111111000010000
50289 // dec: 328329	bin: 1010000001010001001
50704 // dec: 329476	bin: 1010000011100000100
50b81 // dec: 330625	bin: 1010000101110000001
51000 // dec: 331776	bin: 1010001000000000000
51481 // dec: 332929	bin: 1010001010010000001
51904 // dec: 334084	bin: 1010001100100000100
51d89 // dec: 335241	bin: 1010001110110001001
52210 // dec: 336400	bin: 1010010001000010000
52699 // dec: 337561	bin: 1010010011010011001
52b24 // dec: 338724	bin: 1010010101100100100
52fb1 // dec: 339889	bin: 1010010111110110001
53440 // dec: 341056	bin: 1010011010001000000
538d1 // dec: 342225	bin: 1010011100011010001
53d64 // dec: 343396	bin: 1010011110101100100
541f9 // dec: 344569	bin: 1010100000111111001
54690 // dec: 345744	bin: 1010100011010010000
54b29 // dec: 346921	bin: 1010100101100101001
54fc4 // dec: 348100	bin: 1010100111111000100
55461 // dec: 349281	bin: 1010101010001100001
55900 // dec: 350464	bin: 1010101100100000000
55da1 // dec: 351649	bin: 1010101110110100001
56244 // dec: 352836	bin: 1010110001001000100
566e9 // dec: 354025	bin: 1010110011011101001
56b90 // dec: 355216	bin: 1010110101110010000
57039 // dec: 356409	bin: 1010111000000111001
574e4 // dec: 357604	bin: 1010111010011100100
57991 // dec: 358801	bin: 1010111100110010001
57e40 // dec: 360000	bin: 1010111111001000000
582f1 // dec: 361201	bin: 1011000001011110001
587a4 // dec: 362404	bin: 1011000011110100100
58c59 // dec: 363609	bin: 1011000110001011001
59110 // dec: 364816	bin: 1011001000100010000
595c9 // dec: 366025	bin: 1011001010111001001
59a84 // dec: 367236	bin: 1011001101010000100
59f41 // dec: 368449	bin: 1011001111101000001
